ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected,Accuracy,Oracle_view
0 (0.0),0 (0.4),0 (0.0),0 (0.0),0 (0.36),0 (0.16),0 (0.0),0 (0.32),0 (0.24),0 (0.08),0 (0.0),0 (0.08),0 (0.16),0 (0.16),0 (0.16),0,"ALBERT,BERT,DistilBERT,Falcon,RoBERTa","(0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
0 (0.24),0 (0.4),0 (0.28),0 (0.12),0 (0.0),0 (0.44),0 (0.0),0 (0.44),1 (0.36),0 (0.4),0 (0.12),0 (0.24),0 (0.36),0 (0.28),0 (0.28),0,"ELECTRA,Falcon","(0, 0)",ELECTRA,TRUE,TRUE
0 (0.28),1 (0.12),1 (0.44),1 (0.4),1 (0.48),1 (0.44),1 (0.12),1 (0.16),0 (0.44),1 (0.24),1 (0.52),1 (0.36),1 (0.32),1 (0.12),1 (0.12),1,"BART,Falcon,LLAMA3,MISTRAL","(1, 1, 1, 1)",BART,TRUE,TRUE
1 (0.48),0 (0.2),1 (0.16),1 (0.24),0 (0.28),1 (0.04),1 (0.04),1 (0.12),1 (0.16),1 (0.08),0 (0.56),1 (0.08),1 (0.52),1 (0.12),1 (0.12),1,"ELMO,Falcon","(1, 1)",ELMO,TRUE,TRUE
0 (0.0),0 (0.12),0 (0.08),0 (0.08),0 (0.0),0 (0.0),0 (0.0),0 (0.6),0 (0.4),0 (0.08),0 (0.0),0 (0.6),0 (0.2),0 (0.0),0 (0.0),0,"ALBERT,ELECTRA,ELMO,Falcon,RoBERTa,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
0 (0.0),0 (0.52),1 (0.44),0 (0.28),0 (0.44),1 (0.52),0 (0.0),0 (0.56),1 (0.0),0 (0.12),0 (0.44),0 (0.56),0 (0.4),0 (0.2),0 (0.2),1,"ALBERT,Falcon,Glove","(0, 0, 1)",Glove,TRUE,TRUE
0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.08),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0,"ALBERT,BART,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.48),1 (0.44),1 (0.36),1 (0.32),0 (0.44),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),0 (0.48),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1,"ELMO,Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.04),0 (0.2),0 (0.2),0 (0.24),0 (0.2),0 (0.2),0 (0.0),1 (0.2),0 (0.24),0 (0.0),0 (0.0),1 (0.16),0 (0.52),0 (0.08),0 (0.08),0,"Falcon,LLAMA,RoBERTa","(0, 0, 0)",Falcon,TRUE,TRUE
1 (0.32),0 (0.6),0 (0.2),1 (0.4),0 (0.52),0 (0.2),0 (0.0),0 (0.4),0 (0.36),0 (0.0),0 (0.44),0 (0.36),0 (0.48),0 (0.08),0 (0.08),0,"Falcon,LLAMA","(0, 0)",Falcon,TRUE,TRUE
0 (0.0),0 (0.52),0 (0.2),0 (0.12),0 (0.08),0 (0.2),0 (0.24),0 (0.32),0 (0.68),0 (0.16),0 (0.04),0 (0.32),0 (0.16),0 (0.12),0 (0.12),0,ALBERT,"(0,)",ALBERT,TRUE,TRUE
1 (0.44),0 (0.0),0 (0.36),1 (0.28),1 (0.36),1 (0.2),0 (0.12),1 (0.04),1 (0.04),1 (0.0),1 (0.24),1 (0.2),1 (0.24),1 (0.0),1 (0.0),0,"BART,LLAMA,LLAMA3,MISTRAL","(0, 1, 1, 1)",BART,TRUE,TRUE
1 (0.36),1 (0.08),1 (0.16),1 (0.36),1 (0.4),1 (0.12),0 (0.36),1 (0.0),1 (0.12),1 (0.4),1 (0.48),1 (0.12),1 (0.24),1 (0.2),1 (0.2),1,Fasttext,"(1,)",Fasttext,TRUE,TRUE
1 (0.36),1 (0.44),1 (0.6),1 (0.16),1 (0.72),1 (0.12),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.32),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1,"Falcon,Fasttext,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",Falcon,TRUE,TRUE
0 (0.0),0 (0.52),0 (0.32),0 (0.28),0 (0.04),0 (0.04),0 (0.0),0 (0.48),0 (0.32),0 (0.12),0 (0.2),0 (0.24),0 (0.44),0 (0.0),0 (0.0),0,"ALBERT,Falcon,LLAMA3,MISTRAL","(0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.48),1 (0.2),1 (0.52),1 (0.44),1 (0.56),1 (0.0),1 (0.12),1 (0.0),1 (0.32),1 (0.04),1 (0.2),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"ELMO,Fasttext,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.04),0 (0.04),0 (0.04),0 (0.08),0 (0.0),0 (0.08),0 (0.0),0 (0.48),0 (0.36),0 (0.0),0 (0.0),0 (0.28),0 (0.04),0 (0.08),0 (0.08),0,"ELECTRA,Falcon,LLAMA,RoBERTa","(0, 0, 0, 0)",ELECTRA,TRUE,TRUE
1 (0.52),1 (0.16),1 (0.28),1 (0.2),1 (0.48),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.16),1 (0.0),1 (0.2),1 (0.0),1 (0.0),1,"ELMO,Falcon,Fasttext,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.32),0 (0.32),0 (0.12),0 (0.12),0 (0.24),0 (0.2),0 (0.0),0 (0.08),0 (0.28),0 (0.2),0 (0.0),0 (0.56),0 (0.52),0 (0.08),0 (0.08),0,"Falcon,RoBERTa","(0, 0)",Falcon,TRUE,TRUE
1 (0.52),1 (0.36),1 (0.52),1 (0.24),0 (0.44),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.08),1 (0.4),1 (0.04),1 (0.4),1 (0.04),1 (0.04),1,"ELMO,Fasttext,Glove","(1, 1, 1)",ELMO,TRUE,TRUE
0 (0.0),0 (0.24),0 (0.32),0 (0.2),0 (0.04),0 (0.12),0 (0.0),0 (0.16),0 (0.28),0 (0.0),0 (0.0),0 (0.56),0 (0.0),0 (0.0),0 (0.0),0,"ALBERT,Falcon,LLAMA,RoBERTa,XLNET,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.36),1 (0.56),1 (0.44),0 (0.44),1 (0.56),1 (0.44),1 (0.12),1 (0.12),0 (0.28),1 (0.32),1 (0.52),1 (0.08),1 (0.32),1 (0.44),1 (0.44),1,W2V,"(1,)",W2V,TRUE,TRUE
0 (0.04),0 (0.28),0 (0.44),0 (0.28),0 (0.16),0 (0.04),0 (0.08),0 (0.4),0 (0.16),0 (0.16),0 (0.12),0 (0.32),0 (0.32),0 (0.36),0 (0.36),0,"ALBERT,ELMO","(0, 0)",ALBERT,TRUE,TRUE
1 (0.28),1 (0.44),0 (0.2),0 (0.32),1 (0.0),1 (0.24),1 (0.16),1 (0.16),1 (0.04),1 (0.16),0 (0.28),1 (0.08),1 (0.36),1 (0.04),1 (0.04),1,ELECTRA,"(1,)",ELECTRA,TRUE,TRUE
1 (0.4),0 (0.28),1 (0.64),0 (0.52),0 (0.56),0 (0.36),0 (0.08),0 (0.44),0 (0.36),0 (0.36),0 (0.48),0 (0.36),1 (0.52),0 (0.2),0 (0.2),0,Falcon,"(0,)",Falcon,TRUE,TRUE
0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.48),0 (0.32),0 (0.28),0 (0.24),0 (0.28),0 (0.44),0 (0.12),0 (0.52),0 (0.36),0 (0.08),0 (0.12),0 (0.48),0 (0.24),0 (0.2),0 (0.2),0,LLAMA,"(0,)",LLAMA,TRUE,TRUE
1 (0.32),1 (0.44),1 (0.32),1 (0.04),1 (0.32),1 (0.0),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1 (0.48),1 (0.04),1 (0.2),1 (0.04),1 (0.04),1,"ELMO,Falcon,Glove,LLAMA","(1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.44),0 (0.48),1 (0.32),1 (0.36),1 (0.44),1 (0.12),1 (0.08),0 (0.44),1 (0.48),1 (0.28),0 (0.52),0 (0.2),0 (0.36),1 (0.08),1 (0.08),1,"Falcon,LLAMA3,MISTRAL","(1, 1, 1)",Falcon,TRUE,TRUE
0 (0.24),0 (0.4),0 (0.08),0 (0.44),0 (0.16),0 (0.24),0 (0.0),0 (0.12),1 (0.48),0 (0.2),0 (0.04),0 (0.32),0 (0.56),0 (0.0),0 (0.0),0,"Falcon,LLAMA3,MISTRAL","(0, 0, 0)",Falcon,TRUE,TRUE
1 (0.36),0 (0.48),0 (0.48),0 (0.6),0 (0.32),0 (0.24),0 (0.12),0 (0.32),1 (0.52),0 (0.28),1 (0.12),0 (0.4),0 (0.4),0 (0.4),0 (0.4),1,"Falcon,RoBERTa","(0, 1)",RoBERTa,TRUE,TRUE
0 (0.4),0 (0.36),0 (0.44),0 (0.32),0 (0.2),0 (0.24),0 (0.16),0 (0.36),0 (0.44),0 (0.36),0 (0.16),0 (0.08),1 (0.36),0 (0.28),0 (0.28),0,W2V,"(0,)",W2V,TRUE,TRUE
1 (0.4),1 (0.28),1 (0.32),1 (0.52),1 (0.52),1 (0.12),1 (0.04),1 (0.08),1 (0.16),1 (0.0),0 (0.56),1 (0.08),1 (0.32),1 (0.08),1 (0.08),1,LLAMA,"(1,)",LLAMA,TRUE,TRUE
1 (0.64),1 (0.2),1 (0.2),1 (0.44),1 (0.36),1 (0.0),1 (0.0),1 (0.04),1 (0.04),1 (0.0),1 (0.28),1 (0.0),1 (0.36),1 (0.0),1 (0.0),1,"ELMO,Falcon,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.04),0 (0.44),0 (0.28),0 (0.2),0 (0.04),0 (0.04),0 (0.0),0 (0.12),0 (0.16),0 (0.0),0 (0.0),0 (0.04),0 (0.64),0 (0.16),0 (0.16),0,"Falcon,LLAMA,RoBERTa","(0, 0, 0)",Falcon,TRUE,TRUE
1 (0.44),1 (0.4),1 (0.28),1 (0.24),1 (0.36),1 (0.36),1 (0.2),1 (0.12),1 (0.32),1 (0.36),1 (0.4),1 (0.16),1 (0.52),1 (0.28),1 (0.28),1,Fasttext,"(1,)",Fasttext,TRUE,TRUE
1 (0.4),1 (0.12),1 (0.16),1 (0.32),1 (0.36),1 (0.4),1 (0.04),1 (0.2),1 (0.12),1 (0.24),1 (0.4),1 (0.0),1 (0.4),1 (0.24),1 (0.24),1,W2V,"(1,)",W2V,TRUE,TRUE
0 (0.24),1 (0.32),1 (0.68),1 (0.36),1 (0.44),1 (0.2),1 (0.0),1 (0.04),1 (0.08),1 (0.08),1 (0.36),0 (0.08),0 (0.08),1 (0.0),1 (0.0),1,"Falcon,LLAMA3,MISTRAL","(1, 1, 1)",Falcon,TRUE,TRUE
1 (0.24),1 (0.36),1 (0.24),1 (0.4),1 (0.44),1 (0.36),1 (0.04),1 (0.48),0 (0.32),1 (0.04),1 (0.28),1 (0.24),1 (0.36),1 (0.12),1 (0.12),1,"Falcon,LLAMA","(1, 1)",Falcon,TRUE,TRUE
1 (0.52),0 (0.36),0 (0.44),1 (0.4),0 (0.64),0 (0.04),0 (0.08),0 (0.24),0 (0.44),0 (0.24),0 (0.32),0 (0.24),1 (0.2),0 (0.24),0 (0.24),0,ELMO,"(0,)",ELMO,TRUE,TRUE
0 (0.68),0 (0.32),0 (0.56),0 (0.48),0 (0.52),1 (0.36),0 (0.28),0 (0.28),1 (0.4),0 (0.36),0 (0.36),0 (0.28),0 (0.28),0 (0.16),0 (0.16),0,"LLAMA3,MISTRAL","(0, 0)",LLAMA3,TRUE,TRUE
0 (0.16),0 (0.12),0 (0.48),0 (0.2),1 (0.32),0 (0.12),0 (0.0),0 (0.36),0 (0.08),0 (0.2),0 (0.36),0 (0.24),0 (0.44),0 (0.16),0 (0.16),0,Falcon,"(0,)",Falcon,TRUE,TRUE
1 (0.24),1 (0.48),1 (0.28),1 (0.2),1 (0.48),1 (0.04),1 (0.2),1 (0.04),1 (0.04),1 (0.0),1 (0.32),1 (0.16),1 (0.2),1 (0.04),1 (0.04),1,LLAMA,"(1,)",LLAMA,TRUE,TRUE
0 (0.44),1 (0.4),1 (0.72),1 (0.68),1 (0.4),1 (0.08),1 (0.08),1 (0.28),0 (0.24),1 (0.12),1 (0.6),1 (0.4),1 (0.36),1 (0.08),1 (0.08),1,"ELMO,Falcon,LLAMA3,MISTRAL","(1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.56),0 (0.44),0 (0.28),0 (0.4),0 (0.68),0 (0.24),0 (0.24),0 (0.56),0 (0.24),0 (0.2),0 (0.2),0 (0.36),0 (0.2),0 (0.36),0 (0.36),0,"LLAMA,RoBERTa,XLNET","(0, 0, 0)",LLAMA,TRUE,TRUE
1 (0.32),1 (0.2),1 (0.36),0 (0.48),1 (0.52),1 (0.56),1 (0.0),0 (0.44),1 (0.48),1 (0.28),0 (0.48),0 (0.24),0 (0.32),1 (0.2),1 (0.2),1,Falcon,"(1,)",Falcon,TRUE,TRUE
1 (0.32),1 (0.28),1 (0.2),1 (0.16),1 (0.16),1 (0.12),1 (0.0),1 (0.04),1 (0.04),1 (0.0),1 (0.4),1 (0.0),1 (0.32),1 (0.0),1 (0.0),1,"Falcon,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.44),0 (0.68),1 (0.08),1 (0.0),1 (0.24),1 (0.12),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.4),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1,"DistilBERT,Falcon,Fasttext,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1)",DistilBERT,TRUE,TRUE
0 (0.0),0 (0.44),0 (0.04),0 (0.32),0 (0.12),0 (0.08),0 (0.0),0 (0.2),0 (0.32),0 (0.08),0 (0.0),0 (0.24),0 (0.28),0 (0.0),0 (0.0),0,"ALBERT,Falcon,RoBERTa,LLAMA3,MISTRAL","(0, 0, 0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.56),0 (0.48),1 (0.24),1 (0.16),1 (0.48),1 (0.08),1 (0.04),1 (0.36),0 (0.36),1 (0.0),1 (0.48),1 (0.48),1 (0.28),1 (0.0),1 (0.0),1,"LLAMA,LLAMA3,MISTRAL","(1, 1, 1)",LLAMA,TRUE,TRUE
0 (0.44),1 (0.44),1 (0.48),1 (0.4),1 (0.44),1 (0.0),1 (0.04),1 (0.08),1 (0.24),1 (0.2),1 (0.48),1 (0.0),1 (0.36),1 (0.04),1 (0.04),1,"ELMO,W2V","(1, 1)",ELMO,TRUE,TRUE
0 (0.0),0 (0.44),0 (0.48),0 (0.16),0 (0.16),0 (0.0),0 (0.08),0 (0.2),0 (0.36),0 (0.28),0 (0.04),0 (0.12),0 (0.28),0 (0.32),0 (0.32),0,"ALBERT,ELMO","(0, 0)",ALBERT,TRUE,TRUE
1 (0.36),0 (0.52),0 (0.6),0 (0.4),1 (0.56),1 (0.04),0 (0.24),0 (0.36),0 (0.16),1 (0.32),0 (0.4),0 (0.12),1 (0.48),0 (0.4),0 (0.4),1,ELMO,"(1,)",ELMO,TRUE,TRUE
0 (0.24),1 (0.2),0 (0.6),0 (0.4),1 (0.32),0 (0.24),0 (0.0),0 (0.44),0 (0.32),0 (0.0),1 (0.6),0 (0.0),0 (0.4),0 (0.0),0 (0.0),0,"Falcon,LLAMA,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0)",Falcon,TRUE,TRUE
1 (0.16),1 (0.32),1 (0.28),1 (0.04),1 (0.4),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.56),1 (0.0),1 (0.2),1 (0.0),1 (0.0),1,"Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
0 (0.4),0 (0.32),0 (0.28),0 (0.32),1 (0.52),0 (0.32),0 (0.0),0 (0.04),1 (0.4),0 (0.0),0 (0.48),0 (0.04),0 (0.48),0 (0.0),0 (0.0),0,"Falcon,LLAMA,LLAMA3,MISTRAL","(0, 0, 0, 0)",Falcon,TRUE,TRUE
0 (0.0),0 (0.28),0 (0.28),0 (0.2),0 (0.04),0 (0.36),0 (0.08),0 (0.16),0 (0.48),0 (0.28),0 (0.04),0 (0.36),0 (0.48),0 (0.16),0 (0.16),0,ALBERT,"(0,)",ALBERT,TRUE,TRUE
0 (0.36),0 (0.56),0 (0.24),0 (0.24),0 (0.56),0 (0.52),1 (0.08),0 (0.44),0 (0.56),0 (0.2),1 (0.4),0 (0.44),0 (0.4),0 (0.16),0 (0.16),1,Falcon,"(1,)",Falcon,TRUE,TRUE
0 (0.24),0 (0.24),0 (0.36),1 (0.2),1 (0.44),1 (0.08),1 (0.0),1 (0.0),1 (0.24),1 (0.0),1 (0.36),1 (0.0),1 (0.08),1 (0.04),1 (0.04),1,"Falcon,Fasttext,LLAMA,W2V","(1, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.28),1 (0.24),1 (0.4),1 (0.32),1 (0.32),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.52),1 (0.0),1 (0.32),1 (0.04),1 (0.04),1,"ELMO,Falcon,Fasttext,LLAMA,W2V","(1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
1 (0.56),1 (0.32),1 (0.2),1 (0.12),1 (0.2),1 (0.04),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.4),1 (0.0),1 (0.36),1 (0.0),1 (0.0),1,"Falcon,Fasttext,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",Falcon,TRUE,TRUE
0 (0.12),0 (0.44),0 (0.16),0 (0.32),0 (0.2),0 (0.64),0 (0.16),0 (0.56),0 (0.44),0 (0.24),0 (0.24),0 (0.44),0 (0.4),0 (0.24),0 (0.24),0,ALBERT,"(0,)",ALBERT,TRUE,TRUE
1 (0.36),1 (0.52),1 (0.44),1 (0.16),1 (0.48),1 (0.44),1 (0.08),1 (0.12),1 (0.32),1 (0.2),1 (0.56),1 (0.08),0 (0.36),1 (0.08),1 (0.08),1,"Falcon,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1)",Falcon,TRUE,TRUE
0 (0.0),0 (0.4),0 (0.28),0 (0.4),0 (0.12),0 (0.16),0 (0.0),0 (0.08),1 (0.16),0 (0.24),0 (0.12),0 (0.08),0 (0.44),0 (0.04),0 (0.04),0,"ALBERT,Falcon","(0, 0)",ALBERT,TRUE,TRUE
1 (0.36),1 (0.2),1 (0.28),1 (0.24),1 (0.52),1 (0.08),1 (0.04),1 (0.08),1 (0.08),1 (0.16),1 (0.48),1 (0.08),1 (0.32),1 (0.04),1 (0.04),1,"Falcon,LLAMA3,MISTRAL","(1, 1, 1)",Falcon,TRUE,TRUE
0 (0.48),0 (0.48),0 (0.32),0 (0.4),0 (0.56),0 (0.4),0 (0.04),0 (0.28),0 (0.48),0 (0.12),0 (0.68),0 (0.12),0 (0.48),0 (0.08),0 (0.08),0,Falcon,"(0,)",Falcon,TRUE,TRUE
1 (0.36),1 (0.12),1 (0.16),1 (0.12),1 (0.44),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.4),1 (0.04),1 (0.04),1 (0.0),1 (0.0),1,"ELMO,Falcon,Fasttext,Glove,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.36),0 (0.48),1 (0.44),0 (0.28),1 (0.68),0 (0.2),0 (0.04),0 (0.32),0 (0.08),0 (0.0),0 (0.6),0 (0.2),0 (0.36),0 (0.16),0 (0.16),0,LLAMA,"(0,)",LLAMA,TRUE,TRUE
0 (0.24),0 (0.36),1 (0.64),1 (0.68),1 (0.6),1 (0.44),0 (0.08),1 (0.16),1 (0.2),0 (0.0),1 (0.32),1 (0.0),0 (0.36),0 (0.08),1 (0.08),1,"LLAMA,W2V","(0, 1)",W2V,TRUE,TRUE
0 (0.36),1 (0.52),1 (0.24),0 (0.32),0 (0.4),0 (0.36),0 (0.0),0 (0.12),1 (0.48),0 (0.28),1 (0.4),0 (0.08),0 (0.48),0 (0.16),0 (0.16),0,Falcon,"(0,)",Falcon,TRUE,TRUE
0 (0.64),1 (0.12),1 (0.48),1 (0.36),1 (0.32),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.48),1 (0.0),1 (0.32),1 (0.0),1 (0.0),1,"ELMO,Falcon,Fasttext,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.4),1 (0.2),1 (0.04),0 (0.28),0 (0.2),1 (0.4),0 (0.04),1 (0.36),0 (0.32),1 (0.04),0 (0.36),1 (0.28),0 (0.44),1 (0.04),1 (0.04),0,"BERT,Falcon,LLAMA,LLAMA3,MISTRAL","(1, 0, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",ALBERT,TRUE,TRUE
0 (0.0),0 (0.48),0 (0.32),0 (0.12),0 (0.0),0 (0.52),0 (0.24),0 (0.4),0 (0.28),0 (0.44),0 (0.12),0 (0.12),0 (0.48),0 (0.24),0 (0.24),0,"ALBERT,ELECTRA","(0, 0)",ALBERT,TRUE,TRUE
0 (0.48),0 (0.52),0 (0.44),1 (0.32),1 (0.48),0 (0.4),0 (0.16),0 (0.24),0 (0.28),0 (0.16),0 (0.4),0 (0.24),0 (0.44),0 (0.24),0 (0.24),0,"Falcon,LLAMA","(0, 0)",Falcon,TRUE,TRUE
1 (0.24),1 (0.52),1 (0.24),1 (0.2),1 (0.36),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.52),1 (0.04),1 (0.08),1 (0.0),1 (0.0),1,"ELMO,Falcon,Fasttext,Glove,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
1 (0.36),1 (0.48),1 (0.24),1 (0.2),1 (0.44),1 (0.24),1 (0.12),1 (0.32),1 (0.4),1 (0.08),1 (0.6),1 (0.12),1 (0.44),1 (0.12),1 (0.12),1,LLAMA,"(1,)",LLAMA,TRUE,TRUE
0 (0.0),1 (0.36),1 (0.24),1 (0.36),0 (0.08),0 (0.2),0 (0.0),0 (0.24),0 (0.36),0 (0.08),0 (0.6),0 (0.32),0 (0.2),0 (0.12),0 (0.12),0,"ALBERT,Falcon","(0, 0)",ALBERT,TRUE,TRUE
0 (0.24),0 (0.32),0 (0.36),0 (0.36),0 (0.16),0 (0.08),0 (0.0),0 (0.16),1 (0.4),0 (0.0),0 (0.0),0 (0.2),0 (0.2),0 (0.0),0 (0.0),0,"Falcon,LLAMA,RoBERTa,LLAMA3,MISTRAL","(0, 0, 0, 0, 0)",Falcon,TRUE,TRUE
1 (0.36),0 (0.32),0 (0.28),0 (0.36),0 (0.44),0 (0.12),0 (0.0),0 (0.12),0 (0.0),0 (0.0),0 (0.52),0 (0.0),0 (0.36),0 (0.0),0 (0.0),0,"Falcon,Glove,LLAMA,W2V,LLAMA3,MISTRAL","(0, 0, 0, 0, 0, 0)",Falcon,TRUE,TRUE
0 (0.12),0 (0.36),1 (0.16),0 (0.16),0 (0.04),0 (0.12),0 (0.0),0 (0.28),1 (0.28),0 (0.0),0 (0.0),0 (0.24),1 (0.52),0 (0.0),0 (0.0),0,"Falcon,LLAMA,RoBERTa,LLAMA3,MISTRAL","(0, 0, 0, 0, 0)",Falcon,TRUE,TRUE
1 (0.48),1 (0.4),1 (0.16),1 (0.0),1 (0.32),1 (0.04),1 (0.04),1 (0.08),1 (0.12),1 (0.0),1 (0.28),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1,"DistilBERT,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1)",DistilBERT,TRUE,TRUE
0 (0.48),1 (0.12),1 (0.48),1 (0.28),1 (0.4),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.4),1 (0.04),1 (0.04),1 (0.0),1 (0.0),1,"ELMO,Falcon,Glove,LLAMA,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
1 (0.44),0 (0.2),0 (0.32),0 (0.36),0 (0.56),0 (0.24),0 (0.04),0 (0.08),0 (0.16),0 (0.36),0 (0.48),0 (0.32),0 (0.24),0 (0.16),0 (0.16),0,Falcon,"(0,)",Falcon,TRUE,TRUE
1 (0.4),1 (0.4),1 (0.2),1 (0.2),1 (0.32),1 (0.36),1 (0.32),1 (0.08),1 (0.04),1 (0.2),1 (0.44),1 (0.36),1 (0.2),1 (0.24),1 (0.24),1,Glove,"(1,)",Glove,TRUE,TRUE
0 (0.08),0 (0.32),0 (0.32),0 (0.28),0 (0.04),0 (0.12),0 (0.0),0 (0.2),0 (0.2),0 (0.0),0 (0.0),0 (0.52),0 (0.28),0 (0.2),0 (0.2),0,"Falcon,LLAMA,RoBERTa","(0, 0, 0)",Falcon,TRUE,TRUE
1 (0.44),0 (0.36),1 (0.64),0 (0.36),1 (0.36),0 (0.08),0 (0.0),0 (0.2),0 (0.32),0 (0.0),0 (0.28),0 (0.24),0 (0.44),0 (0.0),0 (0.0),0,"Falcon,LLAMA,LLAMA3,MISTRAL","(0, 0, 0, 0)",Falcon,TRUE,TRUE
